Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;1997;1997;1997;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;4097;;;;4097;;2376;;;0
S3;1998;1998;1998;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;161849472;;;;161849472;;5300886;;;0
S3;1998;1998;1998;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;10007326;;;;10007326;;2442470;;;0
S3;1998;1998;1998;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;12398499;;;;12398499;;1934240;;;0
S3;1998;1998;1998;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;6312;;;;6312;;14089;;;0
S3;1998;1998;1998;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;5541601;;;;5541601;;751880;;;0
S3;1998;1998;1998;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;1187;;;;1187;;2024;;;0
S3;1998;1998;1998;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;15625;;;;15625;;137176;;;0
S3;1998;1998;1998;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;72898;;;;72898;;98069;;;0
S3;1999;1999;1999;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;109534556;;;;109534556;;5257272;;;0
S3;1999;1999;1999;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;7823681;;;;7823681;;2159644;;;0
S3;1999;1999;1999;5;1;2;Export;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;3187;;;;3187;;2552;;;0
S3;1999;1999;1999;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;15506597;;;;15506597;;2086855;;;0
S3;1999;1999;1999;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;5687;;;;5687;;15470;;;0
S3;1999;1999;1999;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;5312800;;;;5312800;;757709;;;0
S3;1999;1999;1999;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;2687;;;;2687;;3635;;;0
S3;1999;1999;1999;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;3500;;;;3500;;19354;;;0
S3;1999;1999;1999;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;116300;;;;116300;;108219;;;0
S3;2000;2000;2000;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;33593100;;;;33593100;;4461726;;;2
S3;2000;2000;2000;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8037897;;;;8037897;;2057799;;;6
S3;2000;2000;2000;5;1;2;Export;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3300;;;;3300;;1137;;;2
S3;2000;2000;2000;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;22005400;;;;22005400;;1920063;;;2
S3;2000;2000;2000;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;95900;;;;95900;;51856;;;2
