Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2016;2016;2016;5;1;1;Import;132;Cabo Verde;CPV;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3989376;;;;3989376;;768877;;;2
S3;2016;2016;2016;5;1;2;Export;132;Cabo Verde;CPV;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8357000;;;;8357000;;44982;;;2
S3;2016;2016;2016;5;1;1;Import;140;Central African Rep.;CAF;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8887197;;;;8887197;;1686175;;;2
S3;2016;2016;2016;5;1;1;Import;144;Sri Lanka;LKA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;396258;;;;396258;;374419;;;6
S3;2016;2016;2016;5;1;2;Export;144;Sri Lanka;LKA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;755676;;;;755676;;208895;;;6
S3;2016;2016;2016;5;1;1;Import;152;Chile;CHL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1491854;;;;1493404;;1605538;;;4
S3;2016;2016;2016;5;1;2;Export;152;Chile;CHL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;133233;;;;133330;;229399;;;4
S3;2016;2016;2016;5;1;1;Import;156;China;CHN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;192862173;;;;192862173;;69172366;;;6
S3;2016;2016;2016;5;1;2;Export;156;China;CHN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;699260305959;;;;699260305959;;673848652;;;6
S3;2016;2016;2016;5;1;1;Import;170;Colombia;COL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3977284;;;;4050640;;2106064;;;0
S3;2016;2016;2016;5;1;2;Export;170;Colombia;COL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;129782;;;;138764;;155683;;;0
